kepoi_name,kepler_name,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,target
K00752.01,Kepler-227 b,1.0,0,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,2.26,0.26,-0.15,793.0,,,93.59,29.45,-16.65,35.8,1.0,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,15.347,1
K00752.02,Kepler-227 c,0.969,0,0,0,0,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,443.0,,,9.11,2.87,-1.62,25.8,2.0,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,15.347,1
K00754.01,,0.0,0,1,0,0,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395.0,,,891.96,668.95,-230.35,505.6,1.0,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,15.597,0
K00755.01,Kepler-664 b,1.0,0,0,0,0,2.525591777,3.761e-06,-3.761e-06,171.59555,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1406.0,,,926.16,874.33,-314.24,40.9,1.0,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.334,-0.133,15.509,1
K00756.01,Kepler-228 d,1.0,0,0,0,0,11.09432054,2.036e-05,-2.036e-05,171.20116,0.00141,-0.00141,0.538,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,835.0,,,114.81,112.85,-36.7,66.5,1.0,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,15.714,1
K00756.02,Kepler-228 c,1.0,0,0,0,0,4.13443512,1.046e-05,-1.046e-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,1160.0,,,427.65,420.33,-136.7,40.2,2.0,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,15.714,1
K00756.03,Kepler-228 b,0.992,0,0,0,0,2.56658897,1.781e-05,-1.781e-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,1360.0,,,807.74,793.91,-258.2,15.0,3.0,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,15.714,1
K00114.01,,0.0,0,1,1,0,7.36178958,2.128e-05,-2.128e-05,132.25053,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,1342.0,,,767.22,349.28,-365.49,47.7,1.0,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.958,0.322,-0.483,12.66,0
K00757.01,Kepler-229 c,1.0,0,0,0,0,16.06864674,1.088e-05,-1.088e-05,173.621937,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,600.0,,,30.75,4.46,-6.66,161.9,1.0,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,15.841,1
K00001.01,Kepler-1 b,0.811,0,0,0,0,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14231.0,4.2,-4.2,13.04,0.51,-0.51,1339.0,,,761.46,106.21,-95.76,4304.3,1.0,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.964,0.038,-0.038,11.338,1
K00002.01,Kepler-2 b,1.0,0,1,0,0,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048.0,,,4148.92,651.59,-654.46,5945.9,1.0,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.952,0.099,-0.11,10.463,1
K00010.01,Kepler-8 b,0.998,0,0,0,0,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521.0,,,1264.67,307.23,-276.48,1741.5,1.0,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,0.11,-0.11,13.563,1
K00112.02,Kepler-466 c,1.0,0,0,0,0,3.709214104,6.536e-06,-6.536e-06,133.98318,0.00143,-0.00143,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.1,3.0,-3.0,1.16,0.17,-0.12,1206.0,,,500.46,197.96,-130.54,50.6,2.0,5833.0,105.0,-117.0,4.407,0.085,-0.114,1.022,0.143,-0.107,12.772,1
K00742.01,,0.0,0,1,0,0,11.521446064,1.98e-06,-1.98e-06,170.839688,0.000131,-0.000131,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984.0,31.9,-31.9,150.51,39.76,-13.31,753.0,,,75.88,58.89,-19.99,622.1,1.0,5795.0,155.0,-172.0,4.554,0.033,-0.176,0.848,0.224,-0.075,15.472,0
K00743.01,,0.0,0,1,0,0,19.40393776,2.068e-05,-2.068e-05,172.484253,0.000842,-0.000842,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,523.0,,,17.69,6.66,-4.88,214.7,1.0,5043.0,151.0,-151.0,4.591,0.072,-0.048,0.68,0.072,-0.065,15.487,0
K00744.01,,0.0,0,1,0,0,19.221388942,1.123e-06,-1.123e-06,184.5521637,4.5e-05,-4.5e-05,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74284.0,21.9,-21.9,49.29,16.03,-5.0,698.0,,,55.97,54.55,-16.4,2317.0,1.0,6117.0,182.0,-200.0,4.496,0.052,-0.208,0.947,0.308,-0.096,15.341,0
K00745.01,,0.0,0,1,0,0,16.46983774,1.361e-05,-1.361e-05,180.881761,0.000623,-0.000623,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479.0,39.9,-39.9,7.94,0.89,-0.89,595.0,,,29.61,12.01,-8.91,303.4,1.0,5152.0,168.0,-153.0,4.517,0.088,-0.072,0.786,0.088,-0.088,15.788,0
K00746.01,Kepler-660 b,1.0,0,0,0,0,9.27358173,1.037e-05,-1.037e-05,173.258155,0.000877,-0.000877,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,649.0,,,41.85,12.49,-11.7,87.2,1.0,4856.0,131.0,-146.0,4.583,0.065,-0.035,0.696,0.056,-0.068,15.302,1
K00747.01,Kepler-661 b,1.0,0,0,0,0,6.02930329,5.509e-06,-5.509e-06,171.602959,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,678.0,,,50.04,16.4,-9.88,65.4,1.0,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.672,0.062,-0.036,15.784,1
K00748.01,,0.0,0,1,1,1,2.696370652,7.534e-06,-7.534e-06,170.73769,0.00234,-0.00234,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,1066.0,,,305.34,96.64,-86.33,48.2,1.0,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.819,0.067,-0.082,15.269,0
K00749.01,Kepler-226 c,1.0,0,0,0,0,5.349553819,8.834e-06,-8.834e-06,171.80694,0.00127,-0.00127,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,2.55,0.16,-0.24,919.0,,,168.99,34.66,-38.48,60.6,1.0,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,15.416,1
K00749.02,Kepler-226 b,0.98,0,0,0,0,3.94105221,1.094e-05,-1.094e-05,136.08662,0.00233,-0.00233,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,1.7,0.11,-0.16,1018.0,,,253.15,51.91,-57.65,28.9,2.0,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,15.416,1
K00749.03,Kepler-226 d,0.971,0,0,0,0,8.10904807,6.787e-05,-6.787e-05,132.8031,0.00716,-0.00716,0.025,0.425,-0.025,3.596,0.198,-0.198,217.4,16.8,-16.8,1.3,0.09,-0.12,800.0,,,97.03,19.9,-22.09,14.1,3.0,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,15.416,1
K00113.01,,,0,1,0,0,386.6030528,0.0001369,-0.0001369,166.342079,0.000299,-0.000299,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24927.0,45.8,-45.8,41.5,1.68,-1.68,297.0,,,1.84,0.26,-0.24,994.0,1.0,5543.0,79.0,-79.0,4.081,0.014,-0.014,1.58,0.064,-0.064,12.394,0
K00750.01,Kepler-662 b,1.0,0,0,0,0,21.67699193,7.01e-05,-7.01e-05,171.53594,0.00258,-0.00258,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,857.2,27.1,-27.1,2.95,0.12,-0.23,530.0,,,18.64,2.78,-3.8,34.3,1.0,4954.0,79.0,-79.0,4.5,0.075,-0.02,0.828,0.032,-0.065,15.377,1
K00751.01,Kepler-663 b,1.0,0,0,0,0,4.99677968,1.389e-05,-1.389e-05,171.74208,0.00219,-0.00219,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,917.0,,,166.95,102.06,-42.14,28.2,1.0,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.847,0.161,-0.069,15.861,1
K00769.01,Kepler-671 b,1.0,0,0,0,0,4.280963604,6.141e-06,-6.141e-06,171.89659,0.00115,-0.00115,0.424,0.112,-0.356,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,1012.0,,,247.87,182.24,-63.32,61.8,1.0,5644.0,152.0,-169.0,4.564,0.032,-0.168,0.831,0.207,-0.069,15.356,1
K00770.01,,0.0,0,0,1,0,1.50635409,4.7e-07,-4.7e-07,170.998064,0.000246,-0.000246,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,01.01,-0.44,1452.0,,,1054.12,703.1,-292.26,181.1,1.0,5714.0,155.0,-172.0,4.563,0.04,-0.16,0.831,0.186,-0.08,15.525,0
K00771.01,,0.0,0,1,1,0,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,0.701,0.004,-0.005,53.412,0.131,-0.131,18091.0,33.5,-33.5,14.14,2.13,-0.71,196.0,,,0.35,0.15,-0.06,642.7,1.0,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,0.148,-0.049,15.207,0
K00772.01,,0.0,0,1,0,0,61.2563628,0.000156,-0.000156,173.83826,0.00209,-0.00209,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,505.0,,,15.43,14.85,-5.51,85.3,1.0,6144.0,184.0,-220.0,4.402,0.072,-0.217,1.091,0.35,-0.15,15.25,0
K00773.01,Kepler-672 b,1.0,0,0,0,0,38.3775486,0.0001602,-0.0001602,172.82048,0.00338,-0.00338,0.468,0.461,-0.267,5.588,0.113,-0.113,724.2,23.4,-23.4,2.82,0.37,-0.34,529.0,,,18.53,6.72,-4.93,34.7,1.0,5481.0,82.0,-74.0,4.369,0.121,-0.099,1.036,0.138,-0.124,15.172,1
K00757.02,Kepler-229 d,0.992,0,0,0,0,41.19725502,9.345e-05,-9.345e-05,165.00404,0.00171,-0.00171,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2213.9,45.5,-45.5,3.86,0.15,-0.33,439.0,,,8.76,1.27,-1.9,51.2,2.0,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,15.841,1
K00757.03,Kepler-229 b,1.0,0,0,0,0,6.252962249,9.577e-06,-9.577e-06,171.30126,0.00117,-0.00117,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,823.0,,,108.3,15.73,-23.44,47.1,3.0,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,15.841,1
K00758.01,Kepler-665 b,1.0,0,0,0,0,16.01308419,4.854e-05,-4.854e-05,176.3608,0.00243,-0.00243,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,3.1,0.34,-0.31,593.0,,,29.31,11.77,-8.24,33.2,1.0,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.826,0.091,-0.082,15.39,1
K00759.01,Kepler-230 b,1.0,0,0,0,0,32.62876672,5.801e-05,-5.801e-05,194.1019,0.00138,-0.00138,0.021,0.402,-0.021,4.7971,0.058,-0.058,1804.8,25.4,-25.4,3.36,0.76,-0.33,506.0,,,15.55,10.51,-4.18,80.0,1.0,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,15.082,1
K00759.02,Kepler-230 c,0.978,0,0,0,0,91.7732862,0.0007518,-0.0007518,193.8378,0.00643,-0.00643,0.606,0.335,-0.4,6.473,0.204,-0.204,652.0,36.2,-36.2,2.12,0.48,-0.21,359.0,,,3.92,2.64,-1.06,19.1,2.0,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,15.082,1
K00760.01,Kepler-1976 b,1.0,0,0,0,0,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802.0,20.0,-20.0,12.21,1.96,-1.46,1103.0,,,349.4,146.52,-93.21,696.5,1.0,5712.0,77.0,-77.0,4.359,0.11,-0.11,1.082,0.173,-0.13,15.263,1
K00761.01,,0.0,0,1,1,0,2.701287801,5.634e-06,-5.634e-06,170.69579,0.00164,-0.00164,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,1222.0,,,527.81,411.33,-166.35,48.3,1.0,5550.0,182.0,-182.0,4.468,0.091,-0.169,0.91,0.228,-0.105,15.54,0
K00762.01,Kepler-666 b,1.0,0,0,0,0,4.49876511,1.777e-05,-1.777e-05,171.34905,0.003,-0.003,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,460.0,17.5,-17.5,2.1,0.65,-0.22,1133.0,,,389.62,365.71,-117.4,29.5,1.0,6075.0,189.0,-210.0,4.486,0.052,-0.208,0.969,0.3,-0.1,15.395,1
K00763.01,,0.0,0,1,0,0,19.651209505,5.862e-06,-5.862e-06,179.401981,0.000249,-0.000249,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766.0,27.7,-27.7,12.42,3.92,-1.69,730.0,,,67.03,62.46,-23.51,513.4,1.0,6074.0,168.0,-210.0,4.391,0.09,-0.21,1.063,0.336,-0.144,15.536,0
K00115.01,Kepler-105 b,1.0,0,0,0,0,5.412203927,3.052e-06,-3.052e-06,133.143089,0.000468,-0.000468,0.787,0.005,-0.565,2.9472,0.024,-0.024,601.6,4.0,-4.0,2.94,0.43,-0.38,1093.0,,,337.68,137.29,-102.18,166.7,1.0,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,0.157,-0.142,12.791,1
K00764.01,Kepler-667 b,0.998,0,0,0,0,41.43958662,7.557e-05,-7.557e-05,208.93203,0.00142,-0.00142,0.355,0.04,-0.355,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,516.0,,,16.72,14.66,-6.64,141.1,1.0,5468.0,180.0,-164.0,4.367,0.153,-0.187,1.046,0.297,-0.183,15.4,1
K00765.01,Kepler-668 b,1.0,0,0,0,0,8.35389523,1.524e-05,-1.524e-05,171.63257,0.00133,-0.00133,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,790.0,,,91.9,59.06,-24.15,43.4,1.0,5592.0,152.0,-152.0,4.582,0.036,-0.144,0.787,0.169,-0.073,15.317,1
K00766.01,Kepler-669 b,1.0,0,0,0,0,4.125543472,3.133e-06,-3.133e-06,169.752585,0.000613,-0.000613,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,1243.0,,,565.35,542.47,-188.14,128.6,1.0,6174.0,173.0,-239.0,4.417,0.056,-0.21,1.103,0.358,-0.128,15.506,1
K00767.01,Kepler-670 b,1.0,0,0,0,0,2.816504904,1.65e-07,-1.65e-07,170.9676846,4.66e-05,-4.66e-05,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,16814.0,11.0,-11.0,12.21,1.62,-0.87,1219.0,,,521.13,184.34,-97.95,1406.8,1.0,5532.0,74.0,-83.0,4.452,0.063,-0.108,0.955,0.127,-0.068,15.052,1
K00768.01,,0.0,0,1,1,0,33.93373447,6.154e-05,-6.154e-05,186.67608,0.00137,-0.00137,0.812,0.006,-0.009,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,430.0,,,8.11,3.25,-2.06,236.1,1.0,5040.0,136.0,-151.0,4.628,0.03,-0.07,0.705,0.086,-0.058,15.716,0
K00786.01,Kepler-680 b,1.0,0,0,0,0,3.689920099,8.982e-06,-8.982e-06,170.36571,0.00191,-0.00191,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,1.89,0.54,-0.2,1147.0,,,408.99,342.24,-123.32,35.6,1.0,5880.0,157.0,-192.0,4.518,0.046,-0.196,0.917,0.262,-0.098,15.242,1
K00787.01,Kepler-232 b,1.0,0,0,0,0,4.431238488,6.106e-06,-6.106e-06,171.015,0.00111,-0.00111,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1010.9,15.2,-15.2,3.25,0.47,-0.25,1104.0,,,351.23,135.26,-68.33,71.1,1.0,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,0.148,-0.079,15.367,1
K00787.02,Kepler-232 c,1.0,0,0,0,0,11.37936986,2.415e-05,-2.415e-05,133.84992,0.00183,-0.00183,0.911,0.009,-0.656,2.6255,0.073,-0.073,1023.5,29.7,-29.7,3.95,0.57,-0.31,806.0,,,99.68,38.38,-19.39,37.9,2.0,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,0.148,-0.079,15.367,1
K00788.01,Kepler-681 b,1.0,0,0,0,0,26.39432897,5.724e-05,-5.724e-05,176.05459,0.00176,-0.00176,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1510.9,36.3,-36.3,03.07,0.41,-0.22,489.0,,,13.49,06.07,-3.21,48.2,1.0,5129.0,154.0,-154.0,4.595,0.03,-0.084,0.763,0.103,-0.055,15.234,1
K00116.01,Kepler-106 c,1.0,0,0,0,0,13.57078281,1.585e-05,-1.585e-05,136.279194,0.000957,-0.000957,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,511.7,6.3,-6.3,2.64,0.4,-0.27,785.0,,,89.61,38.12,-22.92,88.4,1.0,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,0.154,-0.103,12.882,1
K00115.02,Kepler-105 c,1.0,0,0,0,0,7.12594387,1.406e-05,-1.406e-05,139.00492,0.00159,-0.00159,0.898,0.013,-0.699,3.2014,0.0384,-0.0384,192.4,4.4,-4.4,1.79,0.26,-0.23,997.0,,,233.31,94.86,-70.6,47.1,2.0,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,0.157,-0.142,12.791,1
K00774.01,,0.014,0,1,0,0,7.442652004,7.02e-07,-7.02e-07,169.9717797,7.32e-05,-7.32e-05,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,24446.0,37.8,-37.8,15.03,4.73,-1.58,967.0,,,206.78,195.52,-61.76,835.6,1.0,6108.0,183.0,-201.0,4.469,0.07,-0.21,0.956,0.301,-0.1,15.27,0
K00775.01,Kepler-52 c,1.0,0,0,0,0,16.38489988,5.219e-05,-5.219e-05,172.72782,0.00248,-0.00248,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1127.1,42.0,-42.0,2.0,0.09,-0.1,433.0,,,8.35,1.49,-1.35,28.9,2.0,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,0.027,-0.029,15.095,1
K00775.02,Kepler-52 b,1.0,0,0,0,0,7.8774163,1.493e-05,-1.493e-05,176.3759,0.00147,-0.00147,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,1306.1,37.7,-37.7,2.16,0.09,-0.11,553.0,,,22.18,3.97,-3.59,38.7,1.0,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,0.027,-0.029,15.095,1
K00775.03,Kepler-52 d,1.0,0,0,0,0,36.4454001,0.0001809,-0.0001809,151.60125,0.00392,-0.00392,0.028,0.437,-0.028,4.007,0.126,-0.126,1122.3,53.4,-53.4,1.99,0.09,-0.09,332.0,,,2.88,0.51,-0.47,21.7,3.0,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,0.027,-0.029,15.095,1
K00776.01,Kepler-673 b,1.0,0,0,0,0,3.728732147,9.36e-07,-9.36e-07,171.793255,0.000195,-0.000195,0.558,0.13,-0.149,2.683,0.035,-0.035,5226.5,18.5,-18.5,06.02,1.22,-0.52,1023.0,,,258.34,162.58,-65.21,345.2,1.0,5497.0,166.0,-149.0,4.577,0.034,-0.136,0.809,0.164,-0.07,15.523,1
K00778.01,Kepler-674 b,1.0,0,0,0,0,2.243380573,2.67e-06,-2.67e-06,170.679233,0.0009,-0.0009,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,821.7,25.6,-25.6,1.99,0.1,-0.12,822.0,,,107.6,21.47,-20.32,38.9,1.0,4149.0,82.0,-91.0,4.698,0.024,-0.027,0.564,0.03,-0.033,15.135,1
K00779.01,,0.0,0,1,0,0,10.405998015,2.515e-06,-2.515e-06,177.197466,0.00019,-0.00019,0.324,0.061,-0.075,6.5036,0.0145,-0.0145,14489.0,22.4,-22.4,11.23,2.92,-1.95,833.0,,,113.94,90.01,-45.01,745.2,1.0,5746.0,173.0,-173.0,4.393,0.18,-0.198,0.924,0.241,-0.16,15.562,0
K00780.01,Kepler-675 b,1.0,0,0,0,0,2.337437946,1.951e-06,-1.951e-06,171.761982,0.000659,-0.000659,0.28,0.189,-0.28,1.9982,0.0271,-0.0271,971.2,13.7,-13.7,2.34,0.17,-0.09,1070.0,,,311.16,69.46,-40.17,82.4,1.0,5005.0,79.0,-79.0,4.595,0.012,-0.064,0.765,0.055,-0.028,15.334,1
K00781.01,Kepler-676 b,1.0,0,0,0,0,11.59822233,1.407e-05,-1.407e-05,180.395376,0.000923,-0.000923,0.679,0.187,-0.47,2.5237,0.052,-0.052,2804.5,46.3,-46.3,2.65,0.21,-0.29,396.0,,,5.82,1.49,-1.63,71.0,1.0,3688.0,73.0,-91.0,4.79,0.05,-0.045,0.473,0.037,-0.051,15.937,1
K00782.01,Kepler-677 b,1.0,0,0,0,0,6.575315881,3.726e-06,-3.726e-06,173.634044,0.000455,-0.000455,0.39,0.065,-0.306,4.3084,0.0306,-0.0306,2793.3,14.9,-14.9,5.31,1.5,-0.81,1015.0,,,251.38,209.1,-91.63,221.1,1.0,5992.0,162.0,-180.0,4.415,0.105,-0.195,0.989,0.28,-0.151,15.312,1
K00783.01,Kepler-678 b,1.0,0,0,0,0,7.275040844,4.677e-06,-4.677e-06,169.994217,0.000507,-0.000507,0.547,0.052,-0.229,7.5377,0.0681,-0.0681,3001.0,11.5,-11.5,4.86,01.05,-0.37,833.0,,,113.64,75.31,-28.97,312.1,1.0,5485.0,164.0,-180.0,4.556,0.028,-0.161,0.867,0.187,-0.067,15.08,1
K00784.01,Kepler-231 c,1.0,0,0,0,0,19.27153892,4.145e-05,-4.145e-05,186.77093,0.00182,-0.00182,0.031,0.36,-0.031,2.7594,0.0551,-0.0551,1219.8,35.3,-35.3,1.93,0.1,-0.12,393.0,,,5.66,1.13,-1.06,37.1,1.0,4077.0,81.0,-81.0,4.702,0.027,-0.027,0.56,0.03,-0.034,15.385,1
K00784.02,Kepler-231 b,1.0,0,0,0,0,10.06524317,1.49e-05,-1.49e-05,136.28906,0.00119,-0.00119,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1053.3,39.2,-39.2,1.91,0.1,-0.12,488.0,,,13.43,2.69,-2.5,30.3,2.0,4077.0,81.0,-81.0,4.702,0.027,-0.027,0.56,0.03,-0.034,15.385,1
K00785.01,Kepler-679 b,1.0,0,0,0,0,12.3935651,3.932e-05,-3.932e-05,178.74725,0.00245,-0.00245,0.883,0.033,-0.64,3.8896,0.0834,-0.0834,916.6,29.1,-29.1,2.66,0.54,-0.23,677.0,,,49.68,31.16,-12.97,35.8,1.0,5557.0,166.0,-166.0,4.603,0.034,-0.128,0.75,0.152,-0.065,15.505,1
K00116.02,Kepler-106 e,0.998,0,0,0,0,43.84439721,9.613e-05,-9.613e-05,151.93538,0.00192,-0.00192,0.852,0.039,-0.585,6.802,0.119,-0.119,615.2,7.7,-7.7,2.87,0.43,-0.3,531.0,,,18.77,7.98,-4.8,83.7,2.0,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,0.154,-0.103,12.882,1
K00798.01,,0.0,0,1,1,0,3.341913228,9.953e-06,-9.953e-06,171.63943,0.00247,-0.00247,1.213,11.28,-0.141,3.813,0.12,-0.12,725.3,21.3,-21.3,21.55,3.54,-1.89,1032.0,,,268.67,145.91,-70.67,39.0,1.0,5295.0,175.0,-159.0,4.551,0.049,-0.105,0.811,0.133,-0.071,15.629,0
K00799.01,,0.773,0,0,1,0,1.626630225,1.015e-06,-1.015e-06,169.820171,0.000487,-0.000487,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19.0,-19.0,32.43,9.0,-4.83,1547.0,,,1355.88,1105.99,-486.6,103.6,1.0,5735.0,155.0,-172.0,4.41,0.124,-0.186,0.973,0.27,-0.145,15.279,0
K00800.01,Kepler-234 b,1.0,0,0,0,0,2.711504086,3.8e-06,-3.8e-06,170.03417,0.00111,-0.00111,0.023,0.405,-0.023,3.1999,0.0423,-0.0423,837.5,14.5,-14.5,3.12,01.02,-0.34,1420.0,,,960.79,931.74,-309.76,64.5,1.0,6214.0,174.0,-239.0,4.442,0.054,-0.216,1.076,0.353,-0.118,15.541,1
K00800.02,Kepler-234 c,1.0,0,0,0,0,7.21203748,1.553e-05,-1.553e-05,172.81782,0.00163,-0.00163,0.012,0.394,-0.012,4.0491,0.058,-0.058,950.4,19.5,-19.5,3.32,01.09,-0.36,1025.0,,,260.58,252.7,-84.01,51.5,2.0,6214.0,174.0,-239.0,4.442,0.054,-0.216,1.076,0.353,-0.118,15.541,1
