kepoi_name,kepler_name,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,target
K01055.01,,0.0,0,1,1,1,36.97708808,8.505e-05,-8.505e-05,133.62681,0.00195,-0.00195,1.246,70.6,-0.102,4.737,0.101,-0.101,1269.9,25.5,-25.5,38.6,11.56,-11.56,602.0,,,31.08,28.03,-17.42,59.2,1.0,5589.0,169.0,-152.0,4.193,0.3,-0.2,1.239,0.371,-0.371,13.698,0
K01056.01,,,0,0,0,0,1.851409163,9.693e-06,-9.693e-06,133.17995,0.00488,-0.00488,1.1117,0.1313,-0.0722,10.232,0.257,-0.257,232.5,4.5,-4.5,20.42,9.55,-4.14,2154.0,,,5090.14,7186.45,-2346.7,54.4,,7117.0,204.0,-287.0,4.176,0.157,-0.263,1.469,0.687,-0.298,13.473,0
K01057.01,,0.0,0,0,1,1,1.303859704,4.545e-06,-4.545e-06,134.21201,0.0033,-0.0033,0.674,0.239,-0.429,2.8239,0.0829,-0.0829,36.7,1.3,-1.3,0.98,0.2,-0.25,2393.0,,,7759.2,4785.96,-3960.18,34.7,1.0,6802.0,183.0,-224.0,4.103,0.221,-0.119,1.521,0.313,-0.383,11.558,0
K00147.01,,0.0,0,1,1,0,145.5624926,0.0003426,-0.0003426,146.0588,0.00188,-0.00188,1.274,70.86,-0.529,5.4126,0.0976,-0.0976,2931.6,57.1,-57.1,40.15,12.09,-6.53,387.0,,,5.33,4.7,-2.06,58.1,1.0,6148.0,165.0,-202.0,4.346,0.128,-0.192,1.095,0.33,-0.178,13.884,0
K01116.01,Kepler-773 b,1.0,0,0,0,0,3.749105745,7.011e-06,-7.011e-06,135.10837,0.00149,-0.00149,0.942,0.021,-0.682,1.9826,0.0371,-0.0371,182.6,5.7,-5.7,1.68,0.26,-0.13,1160.0,,,428.25,181.87,-94.92,38.0,1.0,5751.0,104.0,-115.0,4.447,0.063,-0.117,0.983,0.149,-0.08,13.333,1
K01117.01,Kepler-774 b,1.0,0,0,0,0,11.08956602,4.397e-05,-4.397e-05,141.76142,0.00338,-0.00338,0.02,0.432,-0.02,6.2877,0.0965,-0.0965,148.1,4.4,-4.4,3.51,0.36,-1.01,1422.0,,,965.62,306.5,-510.73,38.9,1.0,6353.0,128.0,-115.0,3.698,0.248,-0.078,2.867,0.295,-0.826,12.808,1
K01119.01,,0.0,0,0,0,1,7.24476126,2.302e-05,-2.302e-05,139.10497,0.00234,-0.00234,0.04,0.423,-0.04,2.3145,0.0817,-0.0817,58.0,2.4,-2.4,0.65,0.14,-0.07,837.0,,,116.02,76.73,-36.24,27.2,1.0,5370.0,187.0,-187.0,4.494,0.074,-0.137,0.874,0.178,-0.096,11.157,0
K01194.01,Kepler-415 c,1.0,0,0,0,0,8.70798309,2.927e-05,-2.927e-05,363.05638,0.00229,-0.00229,0.063,0.418,-0.063,2.4904,0.0805,-0.0805,1419.6,53.6,-53.6,02.01,0.15,-0.06,543.0,,,20.59,5.2,-2.59,28.1,1.0,4362.0,87.0,-78.0,4.722,0.012,-0.051,0.554,0.042,-0.017,15.842,1
K01194.03,Kepler-415 b,0.999,0,0,0,0,4.17634276,2.426e-05,-2.426e-05,352.99674,0.00392,-0.00392,0.142,0.312,-0.142,2.335,0.128,-0.128,531.5,39.3,-39.3,1.23,0.1,-0.03,694.0,,,54.8,13.83,-6.9,14.9,2.0,4362.0,87.0,-78.0,4.722,0.012,-0.051,0.554,0.042,-0.017,15.842,1
K00152.02,Kepler-79 c,1.0,0,0,0,0,27.40229859,5.136e-05,-5.136e-05,133.6284,0.0015,-0.0015,0.022,0.296,-0.022,6.8491,0.0479,-0.0479,747.5,10.0,-10.0,3.63,0.67,-0.56,734.0,,,68.46,35.02,-23.47,79.3,3.0,6198.0,111.0,-136.0,4.237,0.13,-0.117,1.324,0.247,-0.202,13.914,1
K00987.01,Kepler-743 b,1.0,0,0,0,0,3.179267286,3.255e-06,-3.255e-06,261.841607,0.000764,-0.000764,0.171,0.274,-0.171,1.0246,0.0287,-0.0287,200.9,6.0,-6.0,1.21,0.14,-0.06,1101.0,,,347.01,118.28,-58.22,41.0,1.0,5511.0,98.0,-120.0,4.554,0.018,-0.102,0.857,0.101,-0.04,12.55,1
K00988.01,Kepler-261 b,1.0,0,0,0,0,10.38122447,2.131e-05,-2.131e-05,268.02421,0.00149,-0.00149,0.319,0.117,-0.319,2.715,0.0552,-0.0552,801.5,21.5,-21.5,2.18,0.15,-0.1,672.0,,,48.37,11.58,-7.64,41.9,1.0,5095.0,101.0,-101.0,4.566,0.032,-0.052,0.78,0.055,-0.035,13.562,1
K00988.02,Kepler-261 c,1.0,0,0,0,0,24.5709023,0.0001009,-0.0001009,135.87209,0.0033,-0.0033,0.945,0.009,-0.674,3.587,0.181,-0.181,764.2,31.7,-31.7,2.82,0.2,-0.12,505.0,,,15.33,3.68,-2.42,26.3,2.0,5095.0,101.0,-101.0,4.566,0.032,-0.052,0.78,0.055,-0.035,13.562,1
K00989.01,,,0,0,0,0,81.221876,0.0001915,-0.0001915,184.26164,0.00128,-0.00128,01.01,1.522,-0.1118,4.1135,0.0742,-0.0742,9883.0,174.0,-174.0,16.59,6.95,-1.27,385.0,,,5.2,6.62,-1.24,63.0,,5619.0,173.0,-156.0,4.536,0.03,-0.291,0.874,0.366,-0.067,15.488,0
K00989.02,,0.0,0,0,1,1,0.817026268,4.35e-07,-4.35e-07,132.835239,0.000458,-0.000458,0.01,0.279,-0.01,2.0799,0.0156,-0.0156,1145.5,10.8,-10.8,2.92,0.83,-0.26,1784.0,,,2386.13,2041.12,-634.48,121.1,1.0,5619.0,169.0,-169.0,4.536,0.035,-0.196,0.874,0.248,-0.078,15.488,0
K00135.01,Kepler-43 b,1.0,0,0,0,0,3.024092505,2.25e-07,-2.25e-07,132.4168573,6.22e-05,-6.22e-05,0.424,0.031,-0.046,2.8021,0.0103,-0.0103,7765.0,8.6,-8.6,12.14,0.79,-0.95,1489.0,,,1162.54,252.01,-267.02,1225.3,1.0,6063.0,108.0,-145.0,4.261,0.055,-0.045,1.358,0.088,-0.107,13.958,1
K01058.01,,1.0,0,0,1,0,5.670155713,5.441e-06,-5.441e-06,136.201739,0.000777,-0.000777,1.267,66.56,-0.225,0.9361,0.0608,-0.0608,536.7,19.6,-19.6,5.85,2.81,-1.22,341.0,,,3.21,4.86,-1.33,37.3,1.0,3337.0,115.0,-57.0,5.126,0.104,-0.127,0.183,0.088,-0.038,13.783,0
K01059.01,Kepler-757 b,1.0,0,0,0,0,1.022678654,2.712e-06,-2.712e-06,133.45422,0.00223,-0.00223,0.019,0.45,-0.019,1.3712,0.0727,-0.0727,129.2,7.2,-7.2,1.14,0.13,-0.16,1734.0,,,2138.47,685.73,-647.56,21.6,1.0,5366.0,80.0,-72.0,4.363,0.138,-0.08,01.02,0.118,-0.145,14.803,1
